Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Hufigkeit;;;
1;Mitte;104;Tiergarten;2;D;05_10;204;;;
1;Mitte;104;Tiergarten;2;D;10_15;200;;;
1;Mitte;104;Tiergarten;2;D;15_20;183;;;
1;Mitte;104;Tiergarten;2;D;20_25;240;;;
1;Mitte;104;Tiergarten;2;D;25_30;302;;;
1;Mitte;104;Tiergarten;2;D;30_35;320;;;
1;Mitte;104;Tiergarten;2;D;35_40;264;;;
1;Mitte;104;Tiergarten;2;D;40_45;215;;;
1;Mitte;104;Tiergarten;2;D;45_50;223;;;
1;Mitte;104;Tiergarten;2;D;50_55;312;;;
1;Mitte;104;Tiergarten;2;D;55_60;293;;;
1;Mitte;104;Tiergarten;2;D;60_65;279;;;
1;Mitte;104;Tiergarten;2;D;65_70;265;;;
1;Mitte;104;Tiergarten;2;D;70_75;193;;;
1;Mitte;104;Tiergarten;2;D;75_80;181;;;
1;Mitte;104;Tiergarten;2;D;80_85;125;;;
1;Mitte;104;Tiergarten;2;D;85_90;72;;;
1;Mitte;104;Tiergarten;2;D;90_95;49;;;
1;Mitte;104;Tiergarten;2;D;95_und_alter;22;
1;Mitte;105;Wedding;1;A;00_05;442;;;
1;Mitte;105;Wedding;1;A;05_10;435;;;
1;Mitte;105;Wedding;1;A;10_15;391;;;
1;Mitte;105;Wedding;1;A;15_20;688;;;
1;Mitte;105;Wedding;1;A;20_25;1426;;;
1;Mitte;105;Wedding;1;A;25_30;2298;;;
1;Mitte;105;Wedding;1;A;30_35;2060;;;
1;Mitte;105;Wedding;1;A;35_40;1695;;;
1;Mitte;105;Wedding;1;A;40_45;1478;;;
1;Mitte;105;Wedding;1;A;45_50;1284;;;
1;Mitte;105;Wedding;1;A;50_55;1200;;;
1;Mitte;105;Wedding;1;A;55_60;791;;;
1;Mitte;105;Wedding;1;A;60_65;516;;;
1;Mitte;105;Wedding;1;A;65_70;363;;;
1;Mitte;105;Wedding;1;A;70_75;306;;;
1;Mitte;105;Wedding;1;A;75_80;233;;;
1;Mitte;105;Wedding;1;A;80_85;96;;;
1;Mitte;105;Wedding;1;A;85_90;20;;;
1;Mitte;105;Wedding;1;A;90_95;4;;;
1;Mitte;105;Wedding;1;D;00_05;1606;;;
1;Mitte;105;Wedding;1;D;05_10;1311;;;
1;Mitte;105;Wedding;1;D;10_15;1212;;;
1;Mitte;105;Wedding;1;D;15_20;1215;;;
1;Mitte;105;Wedding;1;D;20_25;2111;;;
1;Mitte;105;Wedding;1;D;25_30;3542;;;
1;Mitte;105;Wedding;1;D;30_35;2924;;;
1;Mitte;105;Wedding;1;D;35_40;2100;;;
1;Mitte;105;Wedding;1;D;40_45;1508;;;
1;Mitte;105;Wedding;1;D;45_50;1748;;;
1;Mitte;105;Wedding;1;D;50_55;2089;;;
1;Mitte;105;Wedding;1;D;55_60;1846;;;
1;Mitte;105;Wedding;1;D;60_65;1511;;;
1;Mitte;105;Wedding;1;D;65_70;1145;;;
1;Mitte;105;Wedding;1;D;70_75;942;;;
1;Mitte;105;Wedding;1;D;75_80;975;;;
1;Mitte;105;Wedding;1;D;80_85;496;;;
1;Mitte;105;Wedding;1;D;85_90;234;;;
1;Mitte;105;Wedding;1;D;90_95;80;;;
1;Mitte;105;Wedding;1;D;95_und_alter;12;
1;Mitte;105;Wedding;2;A;00_05;454;;;
1;Mitte;105;Wedding;2;A;05_10;412;;;
1;Mitte;105;Wedding;2;A;10_15;333;;;
1;Mitte;105;Wedding;2;A;15_20;463;;;
1;Mitte;105;Wedding;2;A;20_25;1338;;;
1;Mitte;105;Wedding;2;A;25_30;2028;;;
1;Mitte;105;Wedding;2;A;30_35;1647;;;
1;Mitte;105;Wedding;2;A;35_40;1329;;;
1;Mitte;105;Wedding;2;A;40_45;1133;;;
1;Mitte;105;Wedding;2;A;45_50;952;;;
1;Mitte;105;Wedding;2;A;50_55;818;;;
1;Mitte;105;Wedding;2;A;55_60;602;;;
1;Mitte;105;Wedding;2;A;60_65;500;;;
1;Mitte;105;Wedding;2;A;65_70;520;;;
1;Mitte;105;Wedding;2;A;70_75;333;;;
1;Mitte;105;Wedding;2;A;75_80;197;;;
1;Mitte;105;Wedding;2;A;80_85;73;;;
1;Mitte;105;Wedding;2;A;85_90;25;;;
1;Mitte;105;Wedding;2;A;90_95;3;;;
1;Mitte;105;Wedding;2;A;95_und_alter;3;
1;Mitte;105;Wedding;2;D;00_05;1553;;;
1;Mitte;105;Wedding;2;D;05_10;1195;;;
1;Mitte;105;Wedding;2;D;10_15;1215;;;
1;Mitte;105;Wedding;2;D;15_20;1189;;;
1;Mitte;105;Wedding;2;D;20_25;2431;;;
1;Mitte;105;Wedding;2;D;25_30;3748;;;
1;Mitte;105;Wedding;2;D;30_35;2556;;;
1;Mitte;105;Wedding;2;D;35_40;1673;;;
1;Mitte;105;Wedding;2;D;40_45;1140;;;
1;Mitte;105;Wedding;2;D;45_50;1412;;;
1;Mitte;105;Wedding;2;D;50_55;1923;;;
1;Mitte;105;Wedding;2;D;55_60;1578;;;
1;Mitte;105;Wedding;2;D;60_65;1238;;;
1;Mitte;105;Wedding;2;D;65_70;1112;;;
1;Mitte;105;Wedding;2;D;70_75;979;;;
1;Mitte;105;Wedding;2;D;75_80;1239;;;
1;Mitte;105;Wedding;2;D;80_85;861;;;
1;Mitte;105;Wedding;2;D;85_90;514;;;
1;Mitte;105;Wedding;2;D;90_95;273;;;
1;Mitte;105;Wedding;2;D;95_und_alter;77;
1;Mitte;106;Gesundbrunnen;1;A;00_05;653;;;
1;Mitte;106;Gesundbrunnen;1;A;05_10;659;;;
1;Mitte;106;Gesundbrunnen;1;A;10_15;522;;;
1;Mitte;106;Gesundbrunnen;1;A;15_20;898;;;
1;Mitte;106;Gesundbrunnen;1;A;20_25;1649;;;
1;Mitte;106;Gesundbrunnen;1;A;25_30;2539;;;
1;Mitte;106;Gesundbrunnen;1;A;30_35;2416;;;
1;Mitte;106;Gesundbrunnen;1;A;35_40;2086;;;
1;Mitte;106;Gesundbrunnen;1;A;40_45;1881;;;
1;Mitte;106;Gesundbrunnen;1;A;45_50;1616;;;
1;Mitte;106;Gesundbrunnen;1;A;50_55;1357;;;
1;Mitte;106;Gesundbrunnen;1;A;55_60;777;;;
1;Mitte;106;Gesundbrunnen;1;A;60_65;535;;;
1;Mitte;106;Gesundbrunnen;1;A;65_70;425;;;
1;Mitte;106;Gesundbrunnen;1;A;70_75;389;;;
1;Mitte;106;Gesundbrunnen;1;A;75_80;350;;;
1;Mitte;106;Gesundbrunnen;1;A;80_85;161;;;
1;Mitte;106;Gesundbrunnen;1;A;85_90;30;;;
1;Mitte;106;Gesundbrunnen;1;A;90_95;6;;;
1;Mitte;106;Gesundbrunnen;1;D;00_05;2289;;;
1;Mitte;106;Gesundbrunnen;1;D;05_10;2012;;;
1;Mitte;106;Gesundbrunnen;1;D;10_15;1763;;;
1;Mitte;106;Gesundbrunnen;1;D;15_20;1655;;;
1;Mitte;106;Gesundbrunnen;1;D;20_25;2205;;;
1;Mitte;106;Gesundbrunnen;1;D;25_30;3220;;;
1;Mitte;106;Gesundbrunnen;1;D;30_35;2663;;;
1;Mitte;106;Gesundbrunnen;1;D;35_40;2007;;;
1;Mitte;106;Gesundbrunnen;1;D;40_45;1550;;;
1;Mitte;106;Gesundbrunnen;1;D;45_50;1639;;;
1;Mitte;106;Gesundbrunnen;1;D;50_55;1952;;;
1;Mitte;106;Gesundbrunnen;1;D;55_60;1630;;;
1;Mitte;106;Gesundbrunnen;1;D;60_65;1292;;;
1;Mitte;106;Gesundbrunnen;1;D;65_70;1139;;;
1;Mitte;106;Gesundbrunnen;1;D;70_75;934;;;
1;Mitte;106;Gesundbrunnen;1;D;75_80;855;;;
1;Mitte;106;Gesundbrunnen;1;D;80_85;487;;;
1;Mitte;106;Gesundbrunnen;1;D;85_90;195;;;
1;Mitte;106;Gesundbrunnen;1;D;90_95;75;;;
1;Mitte;106;Gesundbrunnen;1;D;95_und_alter;13;
1;Mitte;106;Gesundbrunnen;2;A;00_05;594;;;
1;Mitte;106;Gesundbrunnen;2;A;05_10;617;;;
1;Mitte;106;Gesundbrunnen;2;A;10_15;537;;;
1;Mitte;106;Gesundbrunnen;2;A;15_20;728;;;
1;Mitte;106;Gesundbrunnen;2;A;20_25;1449;;;
1;Mitte;106;Gesundbrunnen;2;A;25_30;2088;;;
1;Mitte;106;Gesundbrunnen;2;A;30_35;1949;;;
1;Mitte;106;Gesundbrunnen;2;A;35_40;1655;;;
1;Mitte;106;Gesundbrunnen;2;A;40_45;1466;;;
1;Mitte;106;Gesundbrunnen;2;A;45_50;1301;;;
1;Mitte;106;Gesundbrunnen;2;A;50_55;1074;;;
1;Mitte;106;Gesundbrunnen;2;A;55_60;701;;;
1;Mitte;106;Gesundbrunnen;2;A;60_65;533;;;
1;Mitte;106;Gesundbrunnen;2;A;65_70;579;;;
1;Mitte;106;Gesundbrunnen;2;A;70_75;452;;;
1;Mitte;106;Gesundbrunnen;2;A;75_80;284;;;
1;Mitte;106;Gesundbrunnen;2;A;80_85;120;;;
1;Mitte;106;Gesundbrunnen;2;A;85_90;51;;;
1;Mitte;106;Gesundbrunnen;2;A;90_95;9;;;
1;Mitte;106;Gesundbrunnen;2;D;00_05;2021;;;
1;Mitte;106;Gesundbrunnen;2;D;05_10;1811;;;
1;Mitte;106;Gesundbrunnen;2;D;10_15;1734;;;
1;Mitte;106;Gesundbrunnen;2;D;15_20;1535;;;
1;Mitte;106;Gesundbrunnen;2;D;20_25;2412;;;
1;Mitte;106;Gesundbrunnen;2;D;25_30;3183;;;
1;Mitte;106;Gesundbrunnen;2;D;30_35;2515;;;
1;Mitte;106;Gesundbrunnen;2;D;35_40;1837;;;
1;Mitte;106;Gesundbrunnen;2;D;40_45;1279;;;
1;Mitte;106;Gesundbrunnen;2;D;45_50;1362;;;
1;Mitte;106;Gesundbrunnen;2;D;50_55;1535;;;
1;Mitte;106;Gesundbrunnen;2;D;55_60;1360;;;
1;Mitte;106;Gesundbrunnen;2;D;60_65;1157;;;
1;Mitte;106;Gesundbrunnen;2;D;65_70;1027;;;
1;Mitte;106;Gesundbrunnen;2;D;70_75;812;;;
1;Mitte;106;Gesundbrunnen;2;D;75_80;1088;;;
1;Mitte;106;Gesundbrunnen;2;D;80_85;803;;;
1;Mitte;106;Gesundbrunnen;2;D;85_90;498;;;
1;Mitte;106;Gesundbrunnen;2;D;90_95;233;;;
1;Mitte;106;Gesundbrunnen;2;D;95_und_alter;66;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;00_05;389;;;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;05_10;234;;;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;10_15;165;;;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;15_20;305;;;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;20_25;1333;;;
2;Friedrichshain-Kreuzberg;201;Friedrichshain;1;A;25_30;2846;;;
